sl.no,Pick_Time,Actual_Quantity,number_of_items_container,total_quantity_of_items_in_container,volume_of_items_present_in_container,Total_Weight_of_items_present_in_container,Height_of_item,Length_of_item,Width_of_item,weight_of_each_item
17450,7.827,1,6,6,715.9658677,13.4287,2.75,4.75,2.5,1.04
17451,30.19,1,12,12,1247.739527,10.8412,1.75,7.5,6,0.75
17452,17.913,1,7,10,612.84375,4.5075,4.75,6,1.5,0.3125
17453,82.794,1,2,2,146.1875,3.25,2.5,7.8,8.1,0.25
17454,6.04,1,5,7,434.9375,2.84,7,5.25,3.5,0.875
17455,8,1,2,7,319.5,2.05,9.5,4.25,4.25,4.46
17456,12.02,1,2,2,40.5,1.05,2,5.25,5.25,0.5
17457,29.297,2,13,16,1055.348952,10.6774,2.5,3.75,3.75,0.375
17458,5.376,1,5,17,906.328125,9.185,9.5,4,4,3.4875
17459,10.847,2,12,17,1168.703125,13.1288,0.25,7.5,9.75,0.1875
17460,14.29,2,3,6,640.4375,8.0312,7,2.2,2.2,0.625
17461,8.977,3,0,0,0,0,9.5,4,4,3.4875
17462,13.494,1,2,3,400.03125,6.7475,8.5,5.5,0.85,0.42
17463,17.03,1,7,12,1021.40625,7.3975,0.5,5.5,6.5,0.75
17464,8.693,2,5,5,979.990625,5.61,2,5,1,0.1437
17465,6.33,2,3,3,232.125,2.6525,4.5,1.5,1.5,0.1062
17466,18.134,1,0,0,0,0,10.5,6.75,0.5,0.76
17467,5.547,1,14,19,1616.375,14.1143,9.25,3,3,2.24
17468,5.536,1,11,18,1168.28125,8.335,1.25,4.85,3.55,0.52
17469,7.99,1,16,27,1965.578125,18.2388,5.88,1.25,3.25,0.15
17470,25.82,1,14,14,1221.775,13.8911,9.5,3.85,3.85,4.4938
17471,8.377,1,2,3,153.125,0.9312,2.75,6,4,0.75
17472,9.833,2,4,5,1020.0625,7.5488,7,2.2,2.2,0.625
17473,12.157,1,7,9,1377.125,8.585,0.25,7.5,9.75,0.1875
17474,8.38,1,8,8,1063.784359,19.1725,2.75,5,2.5,1.0125
17475,81.013,10,0,0,0,0,5.38,2,2,0.4375
17476,9.92,2,4,5,636.5625,7.1625,3,11.75,4.25,1.125
17477,24.05,1,1,1,152,4.125,5.5,2.75,2.75,1.2375
17478,5.743,1,3,3,360.25,7.525,8.5,2.5,2.5,0.4062
17479,8.423,1,9,10,1478.815625,15.6499,1.75,4.75,4.75,0.54
17480,11.133,3,0,0,0,0,2.5,3.25,3.25,0.3312
17481,7.77,1,4,4,579.5,5.1531,3,11.75,4.25,1.125
17482,9.16,1,7,7,1529.065,16.28,2.25,3,3,0.2656
17483,7.044,1,9,13,1509.625,21.2562,2.75,5,2.5,1.0125
17484,4.19,1,2,2,221.265625,5.06,3.5,8.87,7.25,0.3125
17485,4.31,1,4,4,383.59375,4.5384,9.25,3,3,2.24
17486,22.06,1,4,13,576.375,5.8162,1.5,4.25,2.5,0.5
17487,11.267,2,2,3,101,2.035,8.5,5.5,0.85,0.42
17488,5.047,2,1,10,270,0.66,3,11.5,4.25,1.84
17489,9.127,1,4,4,169.75,5.5475,1.5,4.25,2.5,0.5
17490,9.55,1,3,3,343.40625,11.16,1.25,7.25,6,0.3125
17491,7.44,1,3,9,686.811856,5.3563,6.69,3.25,4.94,0.875
17492,28.384,10,0,0,0,0,2.5,4,4,0.4
17493,5.15,1,9,10,933.25,11.3319,1.5,6.25,5.25,0.875
17494,7.5,2,6,8,760.175,4.3338,7,2.2,2.2,0.625
17495,9.12,1,7,8,1217.294,10.3125,3.5,8.87,7.25,0.3125
17496,5.006,1,1,2,52.0625,0.5,8.5,2.5,2.5,0.4062
17497,20.51,1,1,2,113.4375,0.4,10.5,4,4,4
17498,11.58,1,9,16,940.18225,6.9162,3.25,4.25,4.25,0.54
17499,11.22,1,16,21,1966.515625,14.6444,7,10,1,1.1
17500,17.657,2,8,11,1244.55,8.8725,3,11.5,4.25,1.84
17501,8.943,2,8,13,619.859375,6.4843,1.25,6.25,4.25,0.5625
17502,16.367,1,0,0,0,0,4,3,3,1
17503,9.14,1,4,6,1646.4375,8.84,4,3,3,1
17504,6.064,1,1,2,170.625,0.86,2.25,4.25,4.25,0.62
17505,7.54,1,7,9,555.03125,9.34,2.5,6.25,1,0.54
17506,20.083,1,2,2,367.375,4.4,9.5,4,4,3.4875
17507,40.054,4,5,6,466.375,5.0981,6.25,2.5,2.5,0.9
17508,11.81,1,1,2,299.625,1.2,2.75,5,2.5,1.0125
17509,17.016,3,1,1,68.75,0.5,2.5,3.25,3.25,0.3312
17510,7.2,1,7,12,867,10,2.5,7,6.25,0.25
17511,8.813,1,8,19,1505,8.249,1.5,4.25,2.5,0.5
17512,10.93,1,6,14,722.875,4.2,1.65,4.29,4.29,0.25
17513,5.66,1,1,1,146.625,1.84,9.5,4,4,3.4875
17514,5.314,1,9,15,1559.8375,12.4825,2.5,5.25,3.25,1
17515,32.004,1,11,15,955.528125,11.3625,5.88,1.25,3.25,0.15
17516,7.413,1,6,12,1608.921875,6.0375,0.9,7.6,6.4,0.625
17517,7.867,1,3,3,387.41625,3.3419,2.75,6,4,0.75
17518,27.557,2,2,3,315.1875,3.5,9.25,3,3,2.24
17519,7.61,1,2,2,213.328125,6.46,2.75,5,2.5,1.0125
17520,10.667,2,6,12,1241.391655,5.0787,9.5,4,4,3.4875
17521,6.134,1,5,10,986.375,11.5669,10.5,4,4,4
17522,11.173,1,0,0,0,0,2.5,5.75,1.25,0.6
17523,18.867,2,9,18,1254.42175,9.3624,9.5,4,4,3.4875
17524,16.79,1,10,16,1323.96875,14.1575,2.75,5,2.5,1.0125
17525,10.553,1,2,2,157.659375,3.6225,9.5,4,4,3.4875
17526,6.743,1,7,11,974.875,8.45,2.75,11.75,4,1.5
17527,7.204,1,9,10,1037.625,11.1162,3,11.5,4.25,1.84
17528,6.556,1,1,1,196,3.14,9.25,3,3,2.24
17529,13.293,1,6,7,657.7442,9.1125,10.5,4,4,4
17530,12.414,1,4,5,715.25,9.6925,3,11.5,4.25,1.84
17531,14.243,1,3,3,614.63875,6.3125,2.2,5.75,1.2,0.5
17532,10.75,1,10,12,1101.577425,8.5,2.75,5.25,2.5,1.04
17533,9.024,1,6,7,614.40625,9.6063,5.25,10.25,0.25,0.5
17534,4.74,1,5,6,884.515625,8.375,6.25,2.5,2.5,0.9
17535,6.87,1,3,4,758.903448,6.75,10.5,4,4,4
17536,21.117,1,12,12,1250.8675,14.73,3,9,8.5,1.125
17537,14.157,1,8,12,1423.1875,5.3525,3,5,5,0.625
17538,8.627,1,7,7,805.40625,11.3775,5.25,10.25,0.25,0.5
17539,38.373,2,6,18,1437.5,5.0038,4,5.25,3,1.1625
17540,8.483,1,6,9,606.25,3.7512,1.25,2.25,7,0.0156
17541,2.67,1,13,15,1282.3125,13.4725,2.75,5,2.5,1.0125
17542,17.157,1,5,7,910.765625,4.955,6,7,10,3.5
17543,11.2,1,10,24,1783.828125,12.7587,8.5,5.5,0.85,0.42
17544,13.044,2,4,8,699.453125,9.07,2.75,4.75,2.5,1.04
17545,6.05,1,1,1,152,4.125,1.5,4.25,2.5,0.5
17546,11.076,1,0,0,0,0,7.5,9.5,0.5,0.25
17547,8.864,1,6,6,381.984375,7.4687,2,8,6.5,0.5625
17548,13.176,13,10,26,1545.824038,11.5731,2.5,3.75,3.75,0.3312
17549,4.603,1,4,5,714.0625,6.7387,3,11.5,4.25,1.84
17550,105.84,1,0,0,0,0,1.55,4.85,4.85,0.56
17551,21.61,4,6,9,1503.296875,13.3275,7,5.25,3.5,0.875
17552,10.68,1,0,0,0,0,7,10.75,0.5,0.8
17553,8.056,1,13,19,1486.4375,14.585,8.5,5.5,0.85,0.42
17554,12.394,3,3,8,193.53675,1.0374,2.5,3,3,0.3312
17555,6.473,1,7,8,1150.75,11.2475,1.75,4.5,4.5,0.5
17556,17.15,5,3,4,475.703125,8.96,2,4.75,4.75,0.5
17557,11.42,1,2,2,155.801975,1.2625,0.5,5.75,4.75,0.4062
17558,18.14,1,6,6,860.479375,6.7644,9.5,4.25,4.25,4.46
17559,10.913,2,7,9,1389.825,9.0187,2.5,7,1.5,0.24
17560,5.607,1,3,3,339.59375,6.1125,7.5,9.5,0.5,0.25
17561,8.3,1,3,3,405.34375,3.1562,6.5,6.5,0.85,0.6438
17562,9.494,1,6,7,875,8.8475,1.75,4.75,4.75,0.54
17563,5.757,1,6,6,732.2929688,11.0381,3,11.5,4.25,1.84
17564,22.584,2,4,4,336.578125,1.995,1.25,2.25,7,0.0156
17565,7.473,1,7,13,2067.330428,10.3975,3,5,5,0.625
17566,6.24,1,1,1,87.75,0.25,2.5,7.8,8.1,0.25
17567,6.243,1,6,6,944.7015625,9.5987,3,11.5,4.25,1.84
17568,13.43,1,0,0,0,0,2,7,7,1
17569,8.416,1,9,11,963.084375,7.2287,3.25,5.25,4,1
17570,13.33,2,0,0,0,0,1.25,8.25,5.5,0.4
17571,10.7,1,3,3,412.875,3.6525,6.25,2.5,2.5,0.9
17572,12.036,1,4,6,565.6875,2.1287,2.5,5.75,1.25,0.6
17573,10.7,1,1,1,168,4.56,1.5,4.25,2.5,0.5
17574,15.05,1,10,11,1388.324556,13.735,3.25,4.25,4.25,0.54
17575,7.8,1,4,4,433.5625,5.2862,1.5,6.5,6.5,0.5
17576,0.184,1,6,7,613.84375,10.94,2.75,5,2.75,1.2812
17577,10.944,2,11,18,1670.609375,15.9375,1,9.25,6,0.52
17578,19.383,1,3,8,589.042272,5.4562,4,5.25,3,1.1625
17579,53.14,2,7,10,777.3375,5.1206,2.75,3.25,3.25,0.3312
17580,8.443,2,3,5,655.6875,4.685,4,5.25,3,1.1625
17581,10.136,1,10,13,1489.28125,16.2125,4,5.25,3,1.1625
17582,5.144,1,2,5,238.125,1.4625,2,4.5,3.75,0.58
17583,7.253,1,1,1,152,4,1.25,6.25,4.25,0.5625
17584,5.314,1,0,0,0,0,9.5,4,4,3.4875
17585,9.643,1,3,7,304.375,1.4009,5.5,8,6.5,2
17586,14.01,1,5,9,328.65795,2.635,8.5,5.5,0.85,0.42
17587,23.797,1,8,15,1672.890625,18.48,4,5,5,0.875
17588,21.42,1,10,11,1084.158989,8.765,2.75,5,2.75,1.2812
17589,6.16,1,9,11,1078.97,14.2801,2.25,4.25,4.25,0.62
17590,20.006,1,9,13,1167.953125,8.5175,4,5,5,0.875
17591,14.104,4,11,14,1290.3125,10.6975,2.5,4,4,0.4
17592,9.444,1,1,1,63,0.8125,2.75,4.75,2.5,1.04
17593,15.97,1,0,0,0,0,7.25,3,1.5,0.58
17594,8.23,1,9,12,1369.253369,9.7294,5.88,1.25,3.25,0.15
17595,7.72,1,10,13,1790.40625,9.5431,1,9,5,0.4375
17596,21.213,3,0,0,0,0,3.25,4.25,4.25,0.54
17597,11.83,1,0,0,0,0,2.75,11.75,4,1.5
17598,8.18,1,10,20,1981.6875,14.3875,2.75,5,2.5,1.0125
17599,12.09,1,1,1,30.625,0.3312,1.25,2.25,7,0.0156
17600,35.8,1,6,10,832.640625,6.9475,1.5,4.25,2.5,0.5
17601,18.443,1,7,7,630.65,10.5874,5.25,6.25,1.25,0.84
17602,4.306,1,0,0,0,0,3,11.5,4.25,1.84
17603,24.536,2,10,15,1093.260375,7.0412,6.25,2.5,2.5,0.9
17604,23.473,1,5,6,606.171875,5.9575,2.5,6.25,1,0.54
17605,16.57,4,9,11,753.765625,8.9325,3,11.75,4.25,1.125
17606,14.413,2,5,7,417.001832,3.0124,2,4.75,4.75,0.5
17607,11.937,1,0,0,0,0,4.75,6,1.5,0.3125
17608,15.02,1,0,0,0,0,3,11.5,4.25,1.84
17609,20.21,1,12,12,1390.765625,15.2149,2,7.25,3.25,0.4375
17610,11.633,1,0,0,0,0,9.5,3.85,3.85,4.4938
17611,11.75,1,3,5,441.65625,2.0325,2.5,3.75,3.75,0.3312
17612,7.39,1,8,12,721.3125,5.3325,2.75,11.75,4,1.5
17613,14.33,1,2,2,55.78125,1.0556,7,10,1,1.1
17614,7.724,1,5,5,450.109375,9.26,1.5,5.25,2.75,0.54
17615,8.997,1,3,3,342.3125,5.42,10.5,6.75,0.5,0.76
17616,13.143,1,0,0,0,0,3,11.5,4.25,1.84
17617,5.677,1,4,6,249.0625,1.7925,3,11.5,4.25,1.84
17618,21.223,1,10,13,1519.84375,7.735,5,5,5,0.9062
17619,9.083,1,8,10,1653.328125,5.7225,2.26,3.74,3.74,0.3312
17620,6.71,1,7,12,736.328125,7.7938,6.25,2.5,2.5,0.9
17621,9.553,2,0,0,0,0,2.5,4.75,4.75,0.875
17622,19.206,1,5,5,871.953125,12.64,1.78,2.92,2.91,0.34
17623,16.533,2,4,4,469.375,10.2509,7,2.2,2.2,0.625
17624,17.183,1,6,8,486.401552,8.5075,1.65,4.29,4.29,0.25
17625,15.273,1,10,10,1921.34375,19.6175,2.5,7.8,8.1,0.25
17626,5.09,1,12,14,1700.94875,14.725,2.25,3,3,0.2656
17627,21.753,1,2,2,134.475,2.26,3,11.5,4.25,1.84
17628,9.89,1,8,14,1624.078125,9.4625,7,5.25,3.5,0.875
17629,18.227,1,3,7,726.125,2.59,1.5,6.5,6.5,0.5
17630,10.17,1,6,12,1607.554375,15.4125,1.5,4.25,2.5,0.5
17631,18.637,1,10,10,765.5,8.0531,2.75,6,4,0.75
17632,11.64,1,12,11,875.9375,15.1375,2.5,4.75,4.75,0.875
17633,20.203,4,0,0,0,0,2.5,3.25,3.25,0.3312
17634,8.37,1,5,9,1129.421875,5.5356,2,8,6.5,0.5625
17635,10.687,1,3,4,99.375,5.2625,7,5.5,0.25,0.5625
17636,9.594,1,6,7,870.05375,8.625,3,11.5,4.25,1.84
17637,5.417,1,8,11,1103.609375,8.6062,7,5.25,3.5,0.875
17638,25.666,6,10,40,1388.90625,7.5658,2.5,3,3,0.3312
17639,14.354,1,6,10,835.0625,13.125,9.5,3.85,3.85,4.4938
17640,8.79,2,4,11,336.6875,1.5813,8.5,5.5,0.85,0.42
17641,11.923,1,2,2,93.328125,1.32,3,11.5,4.25,1.84
17642,6.476,1,4,5,757.8515625,6.1212,1,9.5,6.25,0.52
17643,10.296,2,18,20,1660.419537,17.0555,2.5,4,4,0.4
17644,26.944,1,0,0,0,0,2,5.9,5.9,0.6875
17645,10.92,1,9,15,1339.0625,11.7093,6.5,6.5,0.85,0.6438
17646,9.19,1,0,0,0,0,2.25,4.25,4.25,0.62
17647,13.136,1,1,1,146.625,1.84,2.2,5.75,1.2,0.5
17648,17.923,1,4,4,259.125,2.0009,1,7,8,0.625
17649,11.103,1,4,4,509,7.22,8.5,5.5,0.85,0.42
17650,10.4,1,13,14,1023.234375,10.4686,2,8,6.5,0.5625
17651,6.2,1,5,6,535.5,3.26,3,11.5,4.25,1.84
17652,9.33,1,3,7,269.703125,2.4725,2.75,5.25,2.5,1.04
17653,8.693,1,3,5,230.578125,1.5756,2.5,3,3,0.3312
17654,21.26,1,3,3,420.704375,10.1538,7.25,3,1.5,0.58
17655,14.43,1,6,13,1377.265625,8.3125,1.75,4.5,4.5,0.5
17656,7.64,1,3,6,259.375,1.8312,3,11.5,4.25,1.84
17657,6.297,1,0,0,0,0,2.75,4.75,2.5,1.04
17658,28.776,1,3,7,810.5,5.55,6,6,6,0.7931
17659,10.06,2,7,10,1144.933829,9.3284,2.5,4,4,0.4
17660,25.777,1,9,13,1278.296875,11.4612,2,4.5,3.75,0.58
17661,11.403,1,1,1,192,2.2,1.5,4.25,2.5,0.5
17662,18.803,1,0,0,0,0,3,11.5,4.25,1.84
17663,19.62,1,15,17,1742.75,16.54,9.25,3,3,2.24
17664,14.26,3,5,10,460.3125,2.435,8.5,2.5,2.5,0.4062
17665,9.754,1,5,8,769.5,11.0259,2.5,3.25,3.25,0.3312
17666,9.21,2,2,2,97.4125,1.1438,2.5,6.25,1,0.54
17667,5.804,1,6,7,881.09375,5.1219,2.75,5,2.5,1.0125
17668,9.583,1,9,10,1082.247269,13.4087,2,4.5,3.75,0.58
17669,11.06,1,9,10,736.28125,9.5038,4,5.25,3,1.1625
17670,8.3,1,5,7,1533.552688,18.09,2.5,3.5,3.5,0.3312
17671,12.563,1,2,3,267.552,3.875,1,7,8,0.625
17672,4.246,1,10,14,1043.90625,11.27,3,11.75,4.25,1.125
17673,15.793,1,11,11,1724.140625,12.98,10.25,4.25,4.25,3
17674,14.787,1,5,7,843.5,6.1575,0.79,3.94,3.94,0.4375
17675,12.93,1,10,11,1320.90625,8.77,3,5.25,5.25,1.06
17676,9.81,1,0,0,0,0,5.5,4.75,4.75,2.08
17677,20.29,1,3,4,347,1.45,2,4.5,3.75,0.58
17678,19.074,2,2,2,97.024,1.2509,6.25,2.5,2.5,0.9
17679,7.453,1,8,8,412.796875,4.375,7,10.75,0.5,0.8
17680,37.55,2,1,1,241.3125,0.46,3.5,2.75,2.75,0.375
17681,7.066,2,7,10,802.994779,7.0762,2.5,3.75,3.75,0.375
17682,86.62,6,6,6,858.0625,11.195,7.75,2.75,2.75,1
17683,13.353,4,4,4,905.71875,10.06,2.5,3.75,3.75,0.3312
17684,6.42,1,2,3,103.28125,0.3759,1.75,6,4.75,1.32
17685,10.437,1,3,3,128.328125,1.7249,6,7,10,3.5
17686,7.666,1,5,6,762.421875,9.3675,3,11.5,4.25,1.84
17687,6.724,1,1,1,855,0.5312,1.75,8.5,4.75,0.6
17688,11.237,1,10,13,1188.078125,8.8225,1.55,4.85,4.85,0.56
17689,22.373,1,0,0,0,0,7,2.25,2.25,1.0625
17690,9.753,1,1,1,155.2,4.5812,1.25,6.25,4.25,0.5625
17691,20.67,1,3,10,664.9375,2.91,7,10.75,0.5,0.8
17692,23.876,2,9,14,1128.875401,13.6062,6.25,2.5,2.5,0.9
17693,7.617,1,3,3,239.271875,5.145,4,3,3,1
17694,27.567,1,1,1,83.25,2.24,8.5,8.25,1,0.46
17695,37.41,10,4,6,533.2395,3.1225,2.5,4,4,0.4
17696,10.606,1,8,8,1405.033,8.8487,2.25,4.25,4.25,0.62
17697,20.156,1,3,5,288,4.8812,3.25,5.25,3.75,0.9375
17698,1.496,2,0,0,0,0,3,11.5,4.25,1.84
17699,9.3,1,8,14,835.96875,6.505,1.25,6.5,4.5,0.9375
17700,6.366,1,5,6,786.984375,7.365,2.25,4.25,4.25,0.62
17701,39.416,4,0,0,0,0,2.26,3.74,3.74,0.3312
17702,15.824,1,12,14,984.383125,10.6737,4,5.25,3,1.1625
17703,29.507,2,1,2,408,1.8,1,5.5,5.5,0.625
17704,7.243,1,4,4,571.9375,6.45,3,11.5,4.25,1.84
17705,8.217,1,6,6,1072.2125,19.205,2.5,4,4,0.4
17706,11.037,2,1,1,54.1875,1.2,2.5,4.75,4.75,0.875
17707,14.95,1,3,6,764.4375,9.4563,2.5,7.5,5.25,1.625
17708,7.487,1,0,0,0,0,10.5,6.75,0.5,0.76
17709,7.154,1,7,7,699.131875,6.8888,1.78,2.92,2.91,0.34
17710,5.454,1,3,3,457.75,2.8625,2.25,5,5,0.625
17711,17.74,2,8,13,1575,8.54,3,11.5,4.25,1.84
17712,7.666,1,0,0,0,0,3,11.5,4.25,1.84
17713,6.49,1,2,2,89.0625,0.6875,2.5,3.25,3.25,0.3312
17714,5.177,1,6,6,967.890625,10.6562,2,4.5,3.75,0.58
17715,13.267,1,2,2,199.25,5.205,2.75,6,4,0.75
17716,26.267,5,4,13,769.71875,3.9,3.25,4.25,4.25,0.54
17717,19.416,2,0,0,0,0,9.5,4,4,3.4875
17718,8.21,1,0,0,0,0,2.25,5,5,0.625
17719,19.083,1,1,1,58.703125,0.54,6,7,10,3.5
17720,11.7,2,5,7,312.46875,3.4,1,9.5,6.25,0.52
17721,6.62,1,5,8,629.3125,3.8,1.75,6,4.75,1.32
17722,11.863,1,17,21,1826.14375,22.4288,1.78,2.92,2.91,0.34
17723,13.69,1,0,0,0,0,9.85,3.95,3.95,4.625
17724,12.373,1,2,3,297.5625,3.4375,2,4.75,4.75,0.5
17725,6.573,1,0,0,0,0,9.5,3.85,3.85,4.4938
17726,62.956,2,0,0,0,0,7.5,9.5,0.5,0.25
17727,6.657,1,4,4,548.875,4.65,8.5,2.5,2.5,0.4062
17728,7.13,1,1,1,157.95,0.25,2.5,5.25,3.25,1
17729,19.613,1,7,9,587.9804859,9.21,4.25,5.5,3,1.62
17730,6.857,1,11,17,1171.015625,10.2425,1.25,8.25,5.5,0.4
17731,39.924,1,2,3,206,4.785,5.25,2.5,2.5,0.275
17732,11.31,1,4,5,815.875,12.1975,6,3.25,3.25,1.16
17733,13.124,1,10,12,1117.421875,8.4775,10,3,3,2
17734,7.006,1,3,3,464.90625,3.42,1.75,8.5,4.75,0.6
17735,5.553,1,1,1,224,2,1,9,5,0.4375
17736,16.853,4,4,6,1390.75,4.86,2.5,4,4,0.4
17737,4.783,1,10,10,1031.9225,8.4462,4,5,5,0.875
17738,7.176,2,5,8,456.4375,4.6838,3.25,4.25,4.25,0.54
17739,43.743,12,0,0,0,0,4.5,1.5,1.5,0.1062
17740,19.75,1,0,0,0,0,7,10,1,1.1
17741,18.233,1,0,0,0,0,2.75,11.75,4,1.5
17742,10.03,1,3,3,602.23809,9.7175,1.55,4.85,4.85,0.56
17743,8.77,1,1,1,330.625,8.1875,3,11.5,4.25,1.84
17744,5.934,1,11,17,1448.897292,10.06,8.5,5.5,0.85,0.42
17745,9.304,1,3,4,278.25,3.075,2.75,6,4,0.75
17746,6.554,1,6,8,572.828125,8.3224,2.75,5,2.5,1.0125
17747,19.89,2,11,21,1413.362457,15.1174,2.5,3.75,3.75,0.3312
17748,14.196,1,1,1,82.6875,0.75,3.5,8.87,7.25,0.3125
17749,12.317,2,9,14,1595.29375,13.095,3,11.5,4.25,1.84
17750,6.97,1,0,0,0,0,10.5,6.75,0.5,0.76
17751,8.92,1,12,38,1948.4375,9.6849,5.25,3,3,1
17752,11.173,1,3,5,411.0625,2.9,2.5,7.5,5.25,1.625
17753,14.88,1,0,0,0,0,3,11.5,4.25,1.84
17754,9.18,1,5,5,458.7125,3.0494,2,4.75,4.75,0.5
17755,25.777,1,7,8,948.59375,6.995,1.75,6.75,3.75,0.375
17756,13.84,1,6,8,992.219725,9.8359,2.5,3.75,3.75,0.375
17757,15.097,1,3,3,341.8125,3.09,6,7,10,3.5
17758,7.776,1,8,10,1553.15625,13.9825,8.5,2.5,2.5,0.4062
17759,17.94,3,0,0,0,0,2.5,3.75,3.75,0.375
17760,7.45,1,3,4,673.03125,2.3,2.25,4.25,4.25,0.62
17761,12.04,1,0,0,0,0,7.5,2.13,4.25,0.875
17762,7.86,1,9,14,1080.078125,17.8275,3.25,5.25,4,1
17763,10.737,2,1,16,425,0.5,8.5,5.5,0.85,0.42
17764,19.423,1,8,9,799.03125,9.1238,10.5,4,4,4
17765,5.954,1,6,8,509.5625,6.14,3,11.5,4.25,1.84
17766,8.347,1,2,2,213.328125,6.7,10.25,4.25,4.25,3
17767,18.63,1,7,10,787.09375,8.8634,4.25,5.75,2.75,0.9688
17768,7.27,1,4,4,857.34375,1.885,8.25,2.5,2.5,0.625
17769,12.954,1,6,7,1111.5625,7.5693,6,7,10,3.5
17770,8.747,1,0,0,0,0,2.75,5,2.5,1.0125
17771,14.53,1,4,4,176.626,2.0825,2.36,3.43,3.43,0.4375
17772,28.44,1,5,6,341.552662,3.4812,1.75,4.5,4.5,0.5
17773,18.573,1,6,9,740.0625,10.7512,2,4.5,3.75,0.58
17774,28.96,1,7,17,1126.75,8.4812,1.75,6.25,1.75,0.64
17775,4.69,1,6,7,584.0625,6.5312,2.75,5,2.5,1.0125
17776,11.774,2,1,1,171.5,2,2.5,4.75,4.75,0.875
17777,7.177,2,9,18,1719.0125,16.385,5.25,6.25,1.25,0.84
17778,11.846,1,17,35,1556.568015,12.1224,5.88,1.25,3.25,0.15
17779,6.8,1,4,6,958.828125,5.3475,2.25,3,3,0.2656
17780,7.263,1,4,4,286.96875,2.125,4,3,3,1
17781,25.5,2,6,10,587.984375,3.2262,2.5,3.5,3.5,0.3312
17782,24.93,1,4,5,601.9942312,11.7384,10.25,4.5,4.5,3
17783,25.286,4,4,5,887,6.1125,7.75,2.75,2.75,1
17784,6.137,1,16,20,1298.953125,11.963,2.75,5,2.5,1.0125
17785,23.057,4,2,2,354.5,6.4875,3.5,2.75,2.75,0.4062
17786,54.063,1,4,5,692.59375,2.69,5.25,6.25,1.25,0.84
17787,4.013,1,10,11,1480.109375,7.64,3.5,8.87,7.25,0.3125
17788,12.32,1,9,14,1041.53125,7.92,4,5,5,0.875
17789,11.853,4,7,11,844.929678,7.9612,1.25,6.25,4.25,0.5625
17790,66.086,1,2,2,234.5,3.9875,6.25,2.5,2.5,0.9
17791,6.28,2,4,6,982.34375,4.875,9.5,4,4,3.4875
17792,16.316,1,4,8,747.65625,3.1374,1.75,8.5,4.75,0.6
17793,43.94,12,1,1,168,4,3.75,1.5,1.5,0.125
17794,28.484,1,13,21,1599.65625,9.9175,1.5,4.25,2.5,0.5
17795,64.893,1,6,13,400.5,3.0834,9.5,4,4,4
17796,33.973,1,4,6,1176.403125,17.3475,3,11.5,4.25,1.84
17797,16.57,1,0,0,0,0,2.5,4.75,4.75,0.875
17798,14.74,1,0,0,0,0,2.75,3.25,3.25,0.3312
17799,7.89,1,12,18,1988.21875,14.3675,5.5,5.5,1,0.75
17800,18.407,2,3,3,120.0625,2.22,2.5,7,1.5,0.24
17801,14.963,2,11,19,1448.71875,7.4775,2.75,11.75,4,1.5
17802,10.356,1,13,38,1582.138005,13.1624,9.5,4,4.25,4
17803,17.024,1,2,10,208,1.035,2.75,5,2.5,1.0125
17804,11.993,2,7,7,767.427958,8.5749,2.5,3.25,3.25,0.3312
17805,23.584,2,1,1,146.625,1.84,2.5,7.8,8.1,0.25
17806,12.526,1,8,16,1254.7875,6.5763,2.5,4.75,4.75,0.875
17807,11.58,1,3,6,552.25,3.9188,7.25,8.25,2.5,0.125
17808,11.11,1,7,7,1026.828125,7.45,2.75,5,2.75,1.2812
17809,24.767,1,4,5,545.03125,12.6875,3,11.5,4.25,1.84
17810,27.07,1,3,3,363.875,2.175,2,4.5,3.75,0.58
17811,23.77,6,0,0,0,0,9.5,4,4,3.4875
17812,6.77,2,1,1,53.125,0.4062,2.26,3.74,3.74,0.3312
17813,13.964,3,4,4,587.15625,4.27,2.5,4,4,0.4
17814,51.167,12,0,0,0,0,0.5,5.75,4.75,0.4062
17815,5.253,1,3,4,286.5,2.6875,5.25,10.25,0.25,0.5
17816,44.617,2,3,3,281.09375,1.355,3,6,6,0.3125
17817,12.44,1,2,2,124,2.55,1.5,4.25,2.5,0.5
17818,12.92,2,0,0,0,0,2.5,3.75,3.75,0.375
17819,28.174,2,2,2,231.4375,2.6875,8.5,2.5,2.5,0.4062
17820,6.92,1,5,6,466.75,5.4925,10.25,4.5,4.5,3
17821,14.61,2,5,6,575.736976,5.6662,3.25,4.25,4.25,0.54
17822,26.7,1,0,0,0,0,5.563,5.125,0.938,0.5625
17823,13.773,1,9,13,1004.34375,6.0775,10.5,4,4,4
17824,8.667,1,6,6,672.375,4.98,2,4.5,3.75,0.58
17825,17.203,3,10,10,1723.0625,15.9325,6.25,2.5,2.5,0.9
17826,17.424,3,4,7,473.03125,4.895,1.75,8.5,4.75,0.6
17827,30.807,1,4,4,589.671875,4.69,1.5,6.25,5.25,0.875
17828,5.787,1,1,1,243,1.25,9.5,4,4,3.4875
17829,34.143,1,4,4,439.875,5.02,1,8,5,0.3125
17830,4.906,1,17,17,1139.035375,17.0155,2.25,4.25,4.25,0.62
17831,13.197,2,8,10,1020.171875,13.4625,6.25,2.5,2.5,0.9
17832,7.866,1,6,11,762.015625,5.095,7.57,2.78,2.78,1
17833,5.756,1,0,0,0,0,2.75,5,2.5,1.0125
